batter,Name,launch_angle,launch_speed,bat_speed,release_speed,squared_up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669707,Jared Triolo,33,96.3,73.8391,82.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521692,Salvador Perez,10,110.2,77.7905,89.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660271,Shohei Ohtani,20,93.5,72.6132,93.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641598,Mitch Garver,23,93.9,68.5185,81.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687363,Victor Scott,52,78.8,69.6647,92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668832,Kyle McCann,-4,93.8,74.1022,94.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666181,Will Benson,11,77.3,50.597,80.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808982,Jung Hoo Lee,-19,97.7,70.0241,96.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543760,Marcus Semien,-3,92.8,63.4901,90.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519203,Anthony Rizzo,60,90.9,69.1912,91.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665750,Leody Taveras,-14,103.8,70.2628,89.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571745,Mitch Haniger,3,91.4,70.9375,91.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683002,Gunnar Henderson,24,94.2,77.4621,83.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686469,Vinnie Pasquantino,44,93,72.0489,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660688,Keibert Ruiz,52,95.8,75.7007,89.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671213,Triston Casas,3,106,75.7611,83.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602104,Ramon Urias,-23,70.2,69.7961,84.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596142,Gary Sanchez,0,59.3,64.6241,94.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543309,Kyle Higashioka,27,103.9,78.2717,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605113,Nick Ahmed,-25,81.2,71,96.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691023,Jordan Walker,-2,86.4,81.4854,92.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
